Gene,C,Z,Pval,FDR,Module
TCF7L2,0.14126313021012205,233.5286943435599,0.0,0.0,-1.0
PSTPIP2,0.18320974544066765,230.96219067302513,0.0,0.0,1.0
PLAUR,0.15909500330492019,230.71198918108962,0.0,0.0,8.0
F13A1,0.12245065855160515,229.23307194196792,0.0,0.0,13.0
TRPS1,0.08946444770121147,228.09192072347165,0.0,0.0,10.0
ANKRD28,0.10804656604157375,227.24088021872757,0.0,0.0,12.0
RNF144B,0.11767358139966745,226.16521570396702,0.0,0.0,3.0
CR1,0.09664439261403608,225.5243544333462,0.0,0.0,4.0
WDR74,0.15896074836661858,224.7705099708961,0.0,0.0,5.0
PLAAT4,0.2553120109188599,221.86650538823545,0.0,0.0,1.0
IER2,0.12309254766132323,221.49065706009094,0.0,0.0,5.0
AC009093.2,0.12683984626865386,218.6287298007649,0.0,0.0,7.0
LRMDA,0.11611005804314577,215.8057400423178,0.0,0.0,4.0
EPB41L3,0.1930748766505816,215.0202761572493,0.0,0.0,3.0
PLXDC2,0.1046983987643923,214.27248292889044,0.0,0.0,10.0
MIR155HG,0.041857248501056564,213.7660549480136,0.0,0.0,3.0
PARP9,0.16322906242793836,213.10347066522814,0.0,0.0,2.0
ALDH1A2,0.07039656878902634,212.60084327502867,0.0,0.0,3.0
CAMK1D,0.14410318865672006,211.29992588455733,0.0,0.0,7.0
BASP1,0.14787525781358685,210.89336125253988,0.0,0.0,8.0
ANTXR2,0.10888145337149102,209.62579286112623,0.0,0.0,12.0
IRAK2,0.13495352572121186,209.61694127347866,0.0,0.0,3.0
TMEM170B,0.10734018279737625,208.75581620116208,0.0,0.0,8.0
JARID2,0.14697952787759003,208.48958864457987,0.0,0.0,9.0
ANKRD22,0.2806883869207563,207.98761743851512,0.0,0.0,1.0
STAT2,0.15159307523723978,207.63207319256068,0.0,0.0,2.0
FCGR1A,0.20495425196883224,207.10069063359617,0.0,0.0,1.0
ST6GALNAC3,0.09625929452842753,206.58026844983445,0.0,0.0,4.0
LINC00910,0.1343293308408533,205.25643797811856,0.0,0.0,5.0
THBS1,0.11155059717577932,205.09563089566214,0.0,0.0,3.0
IVNS1ABP,0.11627449162893208,204.15344318545095,0.0,0.0,8.0
GFRA2,0.1118731048636448,203.04655031385172,0.0,0.0,7.0
APOBEC3A,0.21749014236211991,201.64833499690081,0.0,0.0,1.0
MARCH1,0.0838497418329647,201.31209126854182,0.0,0.0,4.0
IFITM2,0.16346338128115404,201.01210823476833,0.0,0.0,1.0
SMAD3,0.14306223331559473,200.6466713669324,0.0,0.0,3.0
SAMD9L,0.1773129379826597,199.62965482349287,0.0,0.0,2.0
OAS2,0.1919322016512794,199.5757750495062,0.0,0.0,2.0
SP110,0.12189200297446763,199.4441283715001,0.0,0.0,2.0
CREB5,0.0722376613995318,199.27721163973416,0.0,0.0,4.0
CIITA,0.11599831341704733,199.09849844114265,0.0,0.0,7.0
HSP90AA1,0.1604462020916973,198.49716305193905,0.0,0.0,6.0
TMEM131L,0.09776128030468331,197.27678528858868,0.0,0.0,-1.0
PDE7B,0.08102061290229014,195.92035961559262,0.0,0.0,12.0
AC012447.1,0.08947630769295817,195.5522930841235,0.0,0.0,5.0
MT2A,0.2279364608598251,194.549473023331,0.0,0.0,1.0
LINC00877,0.07987521113266521,194.23974369820095,0.0,0.0,5.0
GNG2,0.09241735510981007,192.69581447639177,0.0,0.0,8.0
SLC24A4,0.08213881680015588,192.50434224841746,0.0,0.0,4.0
GCH1,0.13583340144796116,191.90619235421286,0.0,0.0,3.0
SGMS2,0.08757321172556001,190.67106641686448,0.0,0.0,12.0
IFI6,0.19830253059845113,190.4643099439505,0.0,0.0,1.0
SYNE1,0.0742284210916897,190.38520200328753,0.0,0.0,4.0
SLC39A8,0.08662885909797129,189.89709307514218,0.0,0.0,3.0
ALOX5AP,0.11975855565274393,189.13438592403926,0.0,0.0,8.0
BCL2A1,0.11754172230870837,187.76411581460556,0.0,0.0,3.0
ARHGAP15,0.08435009875687237,186.17916357850243,0.0,0.0,10.0
MAP4K4,0.09946989079588099,185.3772980086382,0.0,0.0,4.0
ETV6,0.12795798673703995,185.19455789278754,0.0,0.0,3.0
SAMD4A,0.19650666840868966,185.18965896263106,0.0,0.0,1.0
CALHM6,0.2509060553755979,185.0405309766718,0.0,0.0,1.0
HDAC9,0.07667080409076833,184.64683147638976,0.0,0.0,11.0
DDX58,0.10986326276681058,184.63505233084442,0.0,0.0,2.0
ADAMTSL4-AS1,0.10654037376843843,183.56688039848,0.0,0.0,8.0
TAP1,0.16232561189791953,181.96294389864323,0.0,0.0,1.0
CTTNBP2,0.07613792649062337,181.3509849596704,0.0,0.0,7.0
DGKG,0.08142750159479588,180.81166971524425,0.0,0.0,4.0
XRN1,0.123843507678436,180.59188289406262,0.0,0.0,1.0
IFIT3,0.25340108434369524,179.63096911050846,0.0,0.0,2.0
GPCPD1,0.11240960983368796,178.45388230969257,0.0,0.0,8.0
GP1BB,0.16021137988226625,177.8242136286157,0.0,0.0,17.0
AL021155.5,0.11406655938058234,177.62887682674,0.0,0.0,5.0
LDLRAD4,0.09938760734571767,177.16307569683678,0.0,0.0,11.0
APOL3,0.13100515478040015,175.61355958588678,0.0,0.0,1.0
SERPING1,0.2297843922902687,174.9241045296206,0.0,0.0,1.0
