,H5N1+AS03 (D21),H5N1+AS03 (D42),H5N1 (D21),H5N1 (D42),TIV (D30),BNT162b2 (D21),BNT162b2 (D42),YFV (D28),SHX (D30),SHX (D90)
"growth factor induced, enriched in nuclear receptor subfamily 4 (M94)",0.06244822829678735,2.597646708651403,2.7001246206792846,0.2426041493790341,6.186648765133303,1.1227869189340862,4.849821335355982,0.12295907555255928,8.12132859923518,4.2107545891571885
innate antiviral response (M150),1.4941012378607395,0.27707990229953017,1.1523971661245582,1.9458053046551451,0.6713390162322823,0.1260201744712559,0.2598391488220917,0.19842048135019724,0.2864355013872309,0.07229407351408772
"myeloid, dendritic cell activation via NFkB (I) (M43.0)",0.15970279936488158,1.217041222719746,0.06725988375409976,1.5814823112103575,1.275592857117941,0.19834957360688804,4.410082914694291,2.013995069197227,5.524560536237248,4.675144383366368
"plasma cells & B cells, immunoglobulins (M156.0)",0.2962228239569126,0.024409862577313365,0.44875538164054796,0.08432045049139816,2.9052463295406525,8.396025176185073,3.123673718185138,0.7929510203770042,1.7959946282946055,0.0772355454617067
"proinflammatory dendritic cell, myeloid cell response (M86.1)",0.409041852119766,2.5714977135604173,0.5651512756502628,2.3351810599433462,3.0815827087377254,1.1532884112748603,5.432541082097648,5.522512955661633,3.2216326594462905,3.9489749683306243
putative targets of PAX3 (M89.0),0.19831816157568258,3.79357855044923,5.0496246945990615,0.09572111551244829,9.350498775946994,0.6786689454088521,9.183264682335972,0.15108771670202106,8.12132859923518,7.592616013051392
putative targets of PAX3 (M89.1),0.17397743743768926,2.1408563983613917,0.5190653331812102,0.14010820509919253,6.977710178792334,1.3802026400324072,5.16115925043599,0.10405681751776762,7.362950040673161,5.060668738648051
regulation of antigen presentation and immune response (M5.0),0.06953911887267211,1.8251225555091255,0.7914748559217247,1.3809741190502305,0.03722423080031444,5.747151289829152,3.8620928481550907,4.540384176272739,3.3794089239563747,0.22419475920167029
respiratory electron transport chain (mitochondrion) (M219),5.891013556658263,4.7922732548881335,4.160284563788296,0.15081279945241147,2.8800463509716527,3.908508740018745,0.20349453594922517,0.06538400030169697,3.0787614800203618,0.3053997418174156
signaling in T cells (I) (M35.0),0.2962228239569126,5.131041882203369,0.9052785551346876,1.3809741190502305,5.294282011009656,2.1494029230406477,0.2481908606076925,0.6907232628427132,3.472754991886409,0.4238237679269329
"transcription elongation, RNA polymerase II (M234)",5.319686148525809,2.971693667529911,4.0348237479613935,1.26522225682604,1.4539277144974194,1.400029804824362,0.17875379003622513,0.15052965493304932,3.280961024581742,0.24215494985348066
type I interferon response (M127),2.5095434571791237,0.008378723117039416,2.403786756297919,2.778862730440951,1.8470613632935837,0.10484386803695209,0.3415220172855537,0.8815566112505729,0.12295740653550939,0.13859118576506274
viral sensing & immunity; IRF2 targets network (II) (M111.1),0.049846162279648026,0.8985423592412237,0.41031848581061575,1.0426797939682397,1.0285340013752868,0.1453688633390536,0.321656118544506,1.1646985273623893,0.6202590222079201,0.4642962378466741
